UNIX_TS,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE
1333270200,319,43,2,274,0,6,0,0,40,106,1,19,9,0,7,0,5,0,0,5,0,38,38
1333270260,315,41,0,274,0,6,0,0,40,106,1,15,9,0,7,0,5,0,0,5,0,38,42
1333270320,310,43,0,267,0,7,0,0,40,108,1,15,9,0,8,0,5,0,0,5,0,37,32
1333270380,466,41,0,425,0,7,0,0,41,106,1,19,9,0,7,0,5,0,148,5,0,37,40
1333270440,452,43,2,407,0,7,0,0,40,106,1,15,9,0,7,0,5,0,138,5,0,38,36
1333270500,479,43,4,432,0,7,0,0,40,106,41,15,9,0,7,0,5,0,128,5,0,37,32
1333270560,488,41,0,447,0,7,0,0,42,105,38,19,9,0,7,0,5,0,127,5,0,38,45
1333270620,475,43,2,430,0,7,0,0,40,106,37,15,9,0,7,0,4,0,126,5,0,38,36
1333270680,484,43,0,441,0,7,0,0,40,106,38,15,9,0,7,0,4,0,127,5,0,38,45
1333270740,607,43,2,562,0,7,0,0,43,106,38,17,9,0,8,0,4,0,125,5,0,38,162
1333270800,644,41,4,599,0,7,0,0,41,106,38,76,9,0,7,0,4,0,124,5,0,38,144
1333270860,648,43,2,603,0,7,0,0,41,106,38,76,9,1,8,0,4,0,123,5,0,37,148
1333270920,525,43,0,482,0,7,0,0,46,106,37,73,9,0,8,0,4,0,0,5,0,37,150
1333270980,520,41,2,477,0,6,0,0,41,106,38,76,9,0,7,0,4,0,1,5,0,38,146
1333271040,516,43,2,471,0,6,0,0,40,107,37,73,9,0,8,0,4,0,0,5,0,38,144
1333271100,516,43,2,471,0,7,0,0,31,107,38,71,9,0,8,0,3,0,0,5,0,38,154
1333271160,511,43,2,466,0,7,0,0,40,106,38,75,9,0,7,0,4,0,1,5,0,38,136
1333271220,658,194,0,464,0,7,0,0,40,106,37,74,9,0,8,0,4,0,0,5,0,38,136
1333271280,635,178,2,455,0,7,0,0,40,106,37,66,9,1,8,0,3,0,0,5,0,38,135
1333271340,635,173,0,462,0,7,0,0,41,106,38,65,9,0,7,0,4,0,0,5,0,38,142
1333271400,525,169,0,356,0,6,0,0,41,106,37,65,9,0,8,0,3,0,0,5,0,37,39
1333271460,2056,169,2,1885,0,7,0,0,40,114,1544,61,9,0,8,0,3,0,10,5,0,38,46
1333271520,2211,173,0,2038,0,7,0,0,41,115,1698,60,9,0,8,0,3,0,7,5,0,38,47
1333271580,2216,171,2,2043,0,7,0,0,40,115,1759,15,9,0,7,0,0,0,0,5,0,37,49
1333271640,2230,169,2,2059,0,7,0,0,40,115,1781,17,9,0,8,0,0,0,0,5,0,38,39
1333271700,2243,171,2,2070,0,7,0,0,42,114,1790,15,9,0,8,0,0,0,0,5,0,38,42
1333271760,2262,166,0,2096,0,7,0,0,40,114,1800,19,9,0,8,0,0,0,0,5,0,37,57
1333271820,2225,169,4,2052,0,7,0,0,40,114,1777,15,9,0,7,0,0,0,0,5,0,38,40
1333271880,2248,169,0,2079,0,7,0,0,43,115,1787,19,9,0,7,0,0,0,0,5,0,38,49
1333271940,2124,43,0,2081,0,7,0,0,40,114,1791,15,9,0,7,0,1,0,0,5,0,39,53
1333272000,2134,43,0,2091,0,7,0,0,40,115,1795,15,9,0,7,0,0,0,0,5,0,38,60
1333272060,2120,41,2,2077,0,7,0,0,30,114,1801,15,9,0,7,0,1,0,0,5,0,38,50
1333272120,2134,41,0,2093,0,6,0,0,40,114,1802,17,9,0,7,0,0,0,1,5,0,38,54
1333272180,2134,43,2,2089,0,7,0,0,40,114,1806,15,9,0,7,0,0,0,0,5,0,38,48
1333272240,2138,43,0,2095,0,7,0,0,40,114,1810,15,9,0,7,0,0,0,0,5,0,37,51
1333272300,2143,41,2,2100,0,7,0,0,40,113,1813,19,9,0,7,0,0,0,0,5,0,39,48
1333272360,2147,43,0,2104,0,7,0,0,40,114,1811,15,9,0,7,0,0,0,0,5,0,37,59
1333272420,2147,45,2,2100,0,7,0,0,40,114,1815,15,9,0,7,0,0,0,0,5,0,38,50
1333272480,2152,43,2,2107,0,6,0,0,41,115,1816,19,9,0,8,0,0,0,0,5,0,38,50
1333272540,2152,43,0,2109,0,7,0,0,40,114,1818,15,9,0,7,0,0,0,0,5,0,38,56
1333272600,2298,43,2,2253,0,7,0,0,40,114,1816,15,9,0,7,0,0,0,144,5,0,38,58
1333272660,2289,41,2,2246,0,7,0,0,41,114,1824,15,9,0,7,0,0,0,131,5,0,38,55
1333272720,2284,43,4,2237,0,7,0,0,40,115,1823,15,9,0,7,0,0,0,128,5,0,37,51
1333272780,2284,43,2,2239,0,7,0,0,40,113,1821,19,9,0,7,0,0,0,127,5,0,38,53
1333272840,2284,43,2,2239,0,7,0,0,42,114,1824,15,9,0,7,0,0,0,126,5,0,38,52
1333272900,2280,43,0,2237,0,7,0,0,40,114,1824,15,9,0,7,0,0,0,125,5,0,38,53
1333272960,2417,43,0,2374,0,7,0,0,40,114,1826,19,9,0,7,0,0,0,125,5,0,38,184
1333273020,2385,43,2,2340,0,6,0,0,45,115,1830,15,9,0,7,0,0,0,123,5,0,38,147
1333273080,685,191,2,492,0,7,0,0,40,108,1,15,9,0,8,0,0,0,122,5,0,37,140
1333273140,548,178,4,366,0,6,0,0,40,106,1,17,9,0,7,0,0,0,0,5,0,37,138
1333273200,548,173,2,373,0,7,0,0,31,108,1,16,9,0,7,0,0,0,0,5,0,38,151
1333273260,543,173,2,368,0,7,0,0,40,107,1,15,9,0,7,0,0,0,1,5,0,38,138
1333273320,543,173,0,370,0,7,0,0,40,107,1,19,9,0,8,0,0,0,0,5,0,38,136
1333273380,539,173,0,366,0,6,0,0,40,107,1,15,9,0,8,0,0,0,0,5,0,38,137
1333273440,539,173,0,366,0,6,0,0,41,107,1,15,8,0,7,0,0,0,0,5,0,37,139
1333273500,543,171,2,370,0,7,0,0,40,107,1,19,9,0,8,0,0,0,0,5,0,38,136
1333273560,539,171,2,366,0,7,0,0,40,106,1,15,8,1,7,0,0,0,0,5,0,38,138
1333273620,429,169,2,258,0,7,0,0,41,106,1,15,9,0,7,0,0,0,1,5,0,37,29
1333273680,434,166,0,268,0,7,0,0,40,106,1,19,9,0,7,0,0,0,0,5,0,38,36
1333273740,429,169,2,258,0,7,0,0,40,106,1,15,9,0,7,0,0,0,0,5,0,38,30
1333273800,319,43,2,274,0,7,0,0,42,106,1,15,9,0,7,0,0,0,0,5,0,38,44
1333273860,315,41,0,274,0,7,0,0,40,106,1,19,9,0,7,0,0,0,0,5,0,37,43
1333273920,310,43,4,263,0,7,0,0,40,107,1,15,9,0,8,0,0,0,0,5,0,37,34
1333273980,319,43,0,276,0,7,0,0,44,106,1,19,9,0,7,0,0,0,0,5,0,38,40
1333274040,310,41,0,269,0,7,0,0,40,107,1,15,9,0,7,0,1,0,0,5,0,38,39
1333274100,310,41,0,269,0,7,0,0,40,107,1,15,9,0,7,0,0,0,0,5,0,38,40
1333274160,342,43,2,297,0,7,0,0,31,107,41,18,9,0,7,0,0,0,0,5,0,37,35
1333274220,351,43,2,306,0,7,0,0,40,107,39,17,9,0,7,0,1,0,0,5,0,38,36
1333274280,351,43,4,304,0,7,0,0,40,106,39,15,9,0,7,0,0,0,0,5,0,38,38
1333274340,347,41,0,306,0,7,0,0,40,105,39,17,9,0,8,0,0,0,0,5,0,37,39
1333274400,351,43,0,308,0,6,0,0,40,106,38,18,9,0,8,0,0,0,1,5,0,38,39
1333274460,347,43,2,302,0,6,0,0,40,106,38,15,9,0,7,0,0,0,0,5,0,37,39
1333274520,342,43,2,297,0,6,0,0,40,105,37,15,9,0,8,0,0,0,0,5,0,37,35
1333274580,347,41,0,306,0,7,0,0,40,106,38,15,9,0,8,0,0,0,0,5,0,37,41
1333274640,351,43,0,308,0,7,0,0,40,106,37,15,9,0,8,0,0,0,0,5,0,37,44
1333274700,351,43,0,308,0,7,0,0,40,106,38,18,9,0,7,0,0,0,0,5,0,38,40
1333274760,351,43,2,306,0,7,0,0,42,106,38,15,9,0,7,0,0,0,0,5,0,38,39
1333274820,351,43,2,306,0,7,0,0,40,106,38,15,9,0,8,0,0,0,0,5,0,39,39
1333274880,1348,43,0,1305,0,7,0,0,40,114,1048,19,9,0,8,0,0,0,0,5,0,39,16
1333274940,2056,189,2,1865,0,7,0,0,42,115,1588,15,9,0,8,0,0,0,0,5,0,38,38
1333275000,2166,171,0,1995,0,7,0,0,40,115,1715,15,9,0,7,0,0,0,0,5,0,38,44
1333275060,2225,171,0,2054,0,7,0,0,40,115,1763,19,9,0,7,0,0,0,0,5,0,37,52
1333275120,2385,173,2,2210,0,7,0,0,47,115,1784,15,9,0,8,0,0,0,144,5,0,38,38
1333275180,2390,171,2,2217,0,7,0,0,40,114,1799,15,9,0,8,0,0,0,132,5,0,37,51
1333275240,2403,171,0,2232,0,7,0,0,41,114,1773,60,9,0,8,0,0,0,128,5,0,38,49
1333275300,2504,169,2,2333,0,7,0,0,31,115,1789,19,9,0,8,0,0,0,128,5,0,39,183
1333275360,2476,171,2,2303,0,7,0,0,40,114,1791,15,9,0,7,0,0,0,127,5,0,38,150
1333275420,2485,171,2,2312,0,7,0,0,40,114,1799,18,9,0,7,0,0,0,127,5,0,37,149
1333275480,2490,171,2,2317,0,7,0,0,40,115,1800,15,9,0,7,0,0,0,125,5,0,38,156
1333275540,2481,171,0,2310,0,7,0,0,40,114,1805,15,9,0,7,0,0,0,124,5,0,38,146
1333275600,2376,43,0,2333,0,7,0,0,40,114,1808,15,9,0,7,0,0,0,123,5,0,39,166
1333275660,2248,43,0,2205,0,7,0,0,40,115,1810,15,9,0,7,0,1,0,0,5,0,37,159
1333275720,2248,43,0,2205,0,7,0,0,41,115,1813,15,9,0,7,0,1,0,0,5,0,38,154
1333275780,2252,43,0,2209,0,7,0,0,40,114,1816,15,9,0,8,0,0,0,0,5,0,37,158
1333275840,2248,43,2,2203,0,7,0,0,40,114,1816,15,9,0,7,0,0,0,0,5,0,38,152
1333275900,2252,41,4,2207,0,6,0,0,42,115,1817,16,9,0,7,0,0,0,0,5,0,38,152
1333275960,2152,43,0,2109,0,7,0,0,40,115,1821,15,9,0,7,0,1,0,0,5,0,38,51
1333276020,2152,41,0,2111,0,6,0,0,40,114,1819,18,9,0,7,0,0,0,1,5,0,38,54
1333276080,2166,43,0,2123,0,7,0,0,44,114,1824,15,9,0,7,0,0,0,0,5,0,37,61
1333276140,2161,43,0,2118,0,7,0,0,40,114,1824,15,8,0,7,0,0,0,0,5,0,38,60
1333276200,2161,43,4,2114,0,7,0,0,40,114,1825,18,9,0,8,0,0,0,1,5,0,38,49
1333276260,2152,41,0,2111,0,7,0,0,30,114,1825,15,9,0,7,0,0,0,0,5,0,38,61
1333276320,2156,41,4,2111,0,7,0,0,40,113,1827,15,9,0,8,0,0,0,0,5,0,37,50
1333276380,2166,41,0,2125,0,7,0,0,40,114,1826,19,9,0,8,0,0,0,0,5,0,37,60
1333276440,2175,43,2,2130,0,7,0,0,40,114,1829,15,9,0,7,0,0,0,10,5,0,38,56
1333276500,324,43,2,279,0,7,0,0,41,107,1,19,9,0,8,0,0,0,7,5,0,38,37
1333276560,324,43,2,279,0,7,0,0,40,108,1,15,9,0,7,0,1,0,7,5,0,37,42
1333276620,315,41,2,272,0,7,0,0,40,106,1,15,9,0,7,0,0,0,7,5,0,38,37
1333276680,329,43,2,284,0,7,0,0,41,106,1,19,9,0,7,0,0,0,7,5,0,37,45
1333276740,319,43,0,276,0,7,0,0,40,107,1,15,9,0,7,0,0,0,7,5,0,37,41
1333276800,461,189,2,270,0,7,0,0,40,107,1,15,9,0,7,0,0,0,7,5,0,37,35
1333276860,452,175,2,275,0,7,0,0,41,108,1,16,9,0,7,0,0,0,7,5,0,38,36
1333276920,584,175,2,407,0,7,0,0,40,107,1,15,9,0,8,0,1,0,151,5,0,38,25
1333276980,589,173,0,416,0,7,0,0,40,107,0,19,9,0,7,0,0,0,142,5,0,38,42
1333277040,580,173,0,407,0,7,0,0,43,106,0,15,9,0,8,0,0,0,137,5,0,38,39
1333277100,571,173,2,396,0,7,0,0,40,106,0,15,9,0,8,0,0,0,136,5,0,38,32
1333277160,571,173,2,396,0,7,0,0,40,106,1,15,9,0,8,0,0,0,135,5,0,38,32
1333277220,562,171,2,389,0,6,0,0,47,107,1,15,9,0,8,0,0,0,134,5,0,38,19
1333277280,566,169,0,397,0,7,0,0,40,107,1,19,9,0,8,0,0,0,133,5,0,38,30
1333277340,562,171,0,391,0,7,0,0,40,106,1,15,9,0,8,0,1,0,133,5,0,37,29
1333277400,566,169,2,395,0,7,0,0,40,106,1,15,9,0,7,0,0,0,134,5,0,37,34
1333277460,447,41,2,404,0,6,0,0,41,106,1,18,9,0,7,0,0,0,133,5,0,38,40
1333277520,603,43,2,558,0,6,0,0,40,107,41,15,9,0,7,0,0,0,131,5,0,38,159
1333277580,603,43,0,560,0,7,0,0,40,106,39,19,9,0,7,0,0,0,131,5,0,37,160
1333277640,584,43,0,541,0,7,0,0,40,106,39,15,9,0,7,0,0,0,130,5,0,38,145
1333277700,589,43,0,546,0,7,0,0,40,106,38,15,9,0,8,0,0,0,131,5,0,38,149
1333277760,580,41,0,539,0,7,0,0,40,104,38,15,9,0,8,0,0,0,129,5,0,37,147
1333277820,589,43,2,544,0,7,0,0,41,106,37,15,9,0,7,0,0,0,130,5,0,38,149
1333277880,589,43,2,544,0,6,0,0,40,106,37,19,9,0,7,0,1,0,129,5,0,38,147
1333277940,456,43,2,411,0,7,0,0,40,106,38,15,8,0,7,0,0,0,7,5,0,38,140
1333278000,502,43,4,455,0,7,0,0,42,104,37,61,9,1,8,0,0,0,7,5,0,38,136
1333278060,507,41,2,464,0,7,0,0,41,105,36,60,9,0,7,0,0,0,7,5,0,38,149
1333278120,662,253,2,407,0,7,0,0,40,106,37,15,9,0,8,0,0,0,7,5,0,38,135
1333278180,571,251,2,318,0,7,0,0,45,106,38,19,9,0,8,0,0,0,7,5,0,38,36
1333278240,562,249,4,309,0,7,0,0,41,107,37,15,9,0,7,0,1,0,0,22,0,38,25
1333278300,351,41,0,310,0,7,0,0,40,105,38,19,9,0,7,0,0,0,0,5,0,38,42
1333278360,342,43,2,297,0,6,0,0,30,105,38,15,9,0,7,0,0,0,0,5,0,37,45
1333278420,351,43,0,308,0,7,0,0,41,106,38,15,9,0,7,0,0,0,0,5,0,38,42
1333278480,351,41,0,310,0,7,0,0,40,105,38,19,9,0,8,0,0,0,0,5,0,38,41
1333278540,347,43,0,304,0,6,0,0,40,105,38,15,9,0,7,0,0,0,1,5,0,38,40
1333278600,498,41,0,457,0,7,0,0,40,107,37,19,9,0,8,0,0,0,148,5,0,37,40
1333278660,626,189,2,435,0,7,0,0,40,106,38,15,9,0,7,0,0,0,133,5,0,38,37
1333278720,607,175,2,430,0,7,0,0,40,105,37,19,9,0,7,0,0,0,130,5,0,37,34
1333278780,603,173,0,430,0,7,0,0,41,103,37,19,9,0,8,0,0,0,128,5,0,37,36
1333278840,603,173,2,428,0,7,0,0,40,104,36,18,9,0,7,0,0,0,126,5,0,37,39
1333278900,2070,171,2,1897,0,7,0,0,40,115,1500,15,9,0,7,0,0,0,125,5,0,38,36
1333278960,2252,173,0,2079,0,7,0,0,41,115,1670,15,9,0,7,0,0,0,124,5,0,37,49
1333279020,2321,173,0,2148,0,7,0,0,40,114,1744,15,9,0,7,0,0,0,123,5,0,37,47
1333279080,2344,171,4,2169,0,6,0,0,40,114,1770,19,9,0,8,0,0,0,122,5,0,38,38
1333279140,2198,169,2,2027,0,7,0,0,43,114,1741,15,9,0,7,0,0,0,0,5,0,38,48
1333279200,2216,171,0,2045,0,7,0,0,40,114,1762,19,9,0,7,0,0,0,0,5,0,38,44
1333279260,2211,169,0,2042,0,7,0,0,40,116,1759,15,9,0,8,0,0,0,0,5,0,37,46
1333279320,2097,41,0,2056,0,7,0,0,31,114,1771,19,9,0,8,0,0,0,0,5,0,38,54
